Point ID,Label,Annual_Precipitation,Distance_to_Nearest_Karst_Feature,Distance_to_Nearest_Water_body,Elevation_(m),Hydrualic_Head_Difference,IAS_Thickness,LULC,Overburden_Thickness,SAS_Thickness,Shear_Waves_Velocities,Slope,Surface_Geology,TPI
5400.0,1.0,1284.0,10302.96875,211.7041473,24.0,0.914399981,0.0,8000.0,5.102399826,5.102399826,307.3131104,0.150587454,3.0,-10.52446747
5401.0,1.0,1301.0,7855.145508,0.0,23.0,5.181600094,0.0,1000.0,20.2567997,21.56159973,211.7040558,0.293733478,7.0,1.9112463
5402.0,1.0,1281.0,988.3582764,559.414917,18.0,3.352800131,11.58240032,1000.0,25.31520081,13.73279953,231.7141876,0.189249352,7.0,-2.309465408
5403.0,1.0,1244.0,4675.805176,913.5480347,59.0,0.0,33.22320175,1000.0,59.91439819,30.69120026,477.7419434,5.375600338,3.0,27.5526886
5404.0,1.0,1329.0,3105.408447,360.7549744,8.0,-0.304800004,0.0,1000.0,7.695199966,7.695199966,235.0950775,0.454850674,7.0,-1.112724781
5405.0,1.0,1332.0,1615.512329,300.8813477,12.0,2.133599997,0.0,1000.0,10.78079987,7.780799866,230.0164642,0.341335982,4.0,-0.606987953
5406.0,1.0,1234.0,5953.810059,254.5808868,34.0,10.05840015,28.34640121,1000.0,44.0583992,11.71199989,245.1525421,0.570300877,3.0,3.103925705
5407.0,1.0,1221.0,22476.13086,182.8342743,40.0,7.924799919,26.21280098,1000.0,54.63040161,29.41759872,254.4894562,0.499845952,7.0,-1.125789642
5408.0,1.0,1335.0,3217.019043,831.3276978,17.0,4.267199993,0.0,1000.0,14.56159973,14.56159973,230.7533722,0.302830249,7.0,2.337014198
5409.0,1.0,1330.0,6745.325684,580.2623291,36.0,7.315199852,10.05840015,1000.0,27.770401,17.71199989,227.7756042,0.11342793,3.0,-2.526473999
5410.0,1.0,1329.0,2346.622803,318.8306885,9.0,2.43840003,0.0,1000.0,8.695199966,8.695199966,216.8863678,0.290293038,7.0,-1.514725208
5411.0,1.0,1332.0,7103.85791,1429.567627,24.0,10.36320019,0.0,1000.0,19.73279953,19.73279953,240.3516083,0.528856874,7.0,5.379769325
5412.0,1.0,1335.0,4682.408203,554.2137451,18.0,6.705600262,0.0,1000.0,10.68480015,12.68480015,364.0102234,0.623078048,7.0,-2.601174355
5413.0,1.0,1282.0,18531.05469,332.0584717,46.0,10.66800022,30.78479958,1000.0,45.08560181,14.30080032,270.6860962,0.160313547,3.0,6.459728241
5414.0,1.0,1284.0,18725.36133,576.5153809,42.0,8.229599953,32.30879974,1000.0,43.21920013,10.91040039,267.3417053,0.062802419,3.0,2.242500305
5415.0,1.0,1238.0,3233.453125,323.5570984,22.0,0.914399981,25.60320091,1000.0,47.29840088,21.69519997,221.326004,1.374123812,3.0,5.399155617
5416.0,1.0,1281.0,9747.395508,258.2595215,9.0,0.609600008,25.90800095,1000.0,41.61360168,15.4008007,228.6015625,0.034763779,2.0,-1.75423336
5417.0,1.0,1329.0,14808.9502,161.8054504,23.0,2.43840003,0.0,1000.0,17.81839943,18.81839943,237.1911469,0.304788619,7.0,1.565502167
5418.0,1.0,1329.0,7874.505859,424.2834167,6.0,0.0,0.0,1000.0,10.5720005,10.5720005,230.7177277,0.144222796,4.0,-0.133897066
5419.0,1.0,1330.0,3874.018799,242.1159668,9.0,3.96239996,0.0,1000.0,9.0,10.0,235.4432983,1.020843625,4.0,1.733434677
5420.0,1.0,1355.0,4663.661133,417.2264099,8.0,0.304800004,0.0,1000.0,4.342400074,3.342400074,271.7601624,0.217177778,4.0,-8.029924393
5421.0,1.0,1331.0,6039.571777,539.9491577,16.0,7.010400295,0.0,8000.0,11.4279995,11.4279995,271.5907288,0.464474171,7.0,-0.721823692
5422.0,1.0,1315.0,8352.084961,420.8322754,15.0,2.743200064,0.0,1000.0,9.818399429,11.81839943,239.9878845,0.783346832,7.0,-1.162239075
